Compound	H	C	N	O	P	S	Cl	Co	Se
4-Hydroxybutanoic+acid_C4H8O3_104.047302	8	24	0	24	0	0	0	0	0
5-Aminopentanamide_C5H12N2O_116.095001	12	30	14	8	0	0	0	0	0
Aquacob(III)alamin_C62H94CoN13O15P_1350.605103	94	372	91	120	15	0	0	27	0
N-Methylnicotinate_C7H7NO2_137.047699	7	42	7	16	0	0	0	0	0
O-Phospho-L-serine_C3H8NO6P_185.009003	8	18	7	48	15	0	0	0	0
(3S)-Citramalyl-CoA_C26H42N7O20P3S_897.141907	42	156	49	160	45	16	0	0	0
3-Hydroxypropanoate_C3H6O3_90.031700	6	18	0	24	0	0	0	0	0
6-Deoxy-L-galactose_C6H12O5_164.068497	12	36	0	40	0	0	0	0	0
6-Hydroxynicotinate_C6H5NO3_139.026993	5	36	7	24	0	0	0	0	0
Hydroxymethylbilane_C40H46N4O17_854.285583	46	240	28	136	0	0	0	0	0
"N,N-Dimethylglycine_C4H9NO2_103.063301"	9	24	7	16	0	0	0	0	0
N6-Hydroxy-L-lysine_C6H14N2O3_162.100494	14	36	14	24	0	0	0	0	0
S-Formylglutathione_C11H17N3O7S_335.078705	17	66	21	56	0	16	0	0	0
4-Guanidinobutanoate_C5H11N3O2_145.085098	11	30	21	16	0	0	0	0	0
"7,8-Diaminononanoate_C9H20N2O2_188.152496"	20	54	14	16	0	0	0	0	0
"L-Gulono-1,4-lactone_C6H10O6_178.047806"	10	36	0	48	0	0	0	0	0
Monodehydroascorbate_C6H7O6_175.024307	7	36	0	48	0	0	0	0	0
N-Acetyl-L-aspartate_C6H9NO5_175.048096	9	36	7	40	0	0	0	0	0
N-Carbamoylsarcosine_C4H8N2O3_132.053497	8	24	14	24	0	0	0	0	0
N-Formyl-L-aspartate_C5H7NO5_161.032394	7	30	7	40	0	0	0	0	0
N-Formyl-L-glutamate_C6H9NO5_175.048096	9	36	7	40	0	0	0	0	0
N-Methyl-L-glutamate_C6H11NO4_161.068802	11	36	7	32	0	0	0	0	0
Uroporphyrinogen+III_C40H44N4O16_836.275085	44	240	28	128	0	0	0	0	0
"2,5-Dihydroxypyridine_C5H5NO2_111.031998"	5	30	7	16	0	0	0	0	0
"3,5-Diiodo-L-tyrosine_C9H9I2NO3_432.867188"	9	54	7	24	0	0	0	0	0
N-Acetyl-beta-alanine_C5H9NO3_131.058304	9	30	7	24	0	0	0	0	0
O-Acetyl-L-homoserine_C6H11NO4_161.068802	11	36	7	32	0	0	0	0	0
Protoporphyrinogen+IX_C34H40N4O4_568.304871	40	204	28	32	0	0	0	0	0
Thiamin+monophosphate_C12H18N4O4PS_345.078613	18	72	28	32	15	16	0	0	0
"alpha,alpha-Trehalose_C12H22O11_342.116211"	22	72	0	88	0	0	0	0	0
8-Amino-7-oxononanoate_C9H17NO3_187.120895	17	54	7	24	0	0	0	0	0
D-Fructose+1-phosphate_C6H13O9P_260.029694	13	36	0	72	15	0	0	0	0
Sorbitol+6-phosphate_C6H15O9P_262.045410	15	36	0	72	15	0	0	0	0
D-Tagatose+6-phosphate_C6H13O9P_260.029785	13	36	0	72	15	0	0	0	0
L-Fuculose+1-phosphate_C6H13O8P_244.034897	13	36	0	64	15	0	0	0	0
L-Histidinol+phosphate_C6H12N3O4P_221.056503	12	36	21	32	15	0	0	0	0
L-Ribulose+5-phosphate_C5H11O8P_230.019196	11	30	0	64	15	0	0	0	0
O-Phospho-L-homoserine_C4H10NO6P_199.024597	10	24	7	48	15	0	0	0	0
Orotidine+5'-phosphate_C10H13N2O11P_368.025604	13	60	14	88	15	0	0	0	0
Trimethylamine+N-oxide_C3H9NO_75.068398	9	18	7	8	0	0	0	0	0
4-Methylene-L-glutamine_C6H10N2O3_158.069199	10	36	14	24	0	0	0	0	0
5-Amino-2-oxopentanoic+acid_C5H9NO3_131.058197	9	30	7	24	0	0	0	0	0
"7,8-Dihydroxykynurenate_C10H7NO5_221.032501"	7	60	7	40	0	0	0	0	0
D-Galactose+6-phosphate_C6H13O9P_260.029785	13	36	0	72	15	0	0	0	0
"L-Arabinono-1,4-lactone_C5H8O5_148.037201"	8	30	0	40	0	0	0	0	0
"L-Galactono-1,4-lactone_C6H10O6_178.047806"	10	36	0	48	0	0	0	0	0
O-Succinyl-L-homoserine_C8H13NO6_219.074295	13	48	7	48	0	0	0	0	0
Sphinganine+1-phosphate_C18H40NO5P_381.264404	40	108	7	40	15	0	0	0	0
18-Hydroxycorticosterone_C21H30O5_362.209290	30	126	0	40	0	0	0	0	0
4-Hydroxy-2-oxoglutarate_C5H6O6_162.016403	6	30	0	48	0	0	0	0	0
L-Rhamnulose+1-phosphate_C6H13O8P_244.034897	13	36	0	64	15	0	0	0	0
S-Adenosylmethioninamine_C14H23N6O3S_355.155212	23	84	42	24	0	16	0	0	0
"(3S)-3,6-Diaminohexanoate_C6H14N2O2_146.105499"	14	36	14	16	0	0	0	0	0
2-Hydroxy-3-oxopropanoate_C3H4O4_104.011002	4	18	0	32	0	0	0	0	0
2-Hydroxycyclohexan-1-one_C6H10O2_114.068100	10	36	0	16	0	0	0	0	0
4-Trimethylammoniobutanal_C7H16NO_130.123199	16	42	7	8	0	0	0	0	0
N(pi)-Methyl-L-histidine_C7H11N3O2_169.085098	11	42	21	16	0	0	0	0	0
trans-4-Hydroxy-L-proline_C5H9NO3_131.058304	9	30	7	24	0	0	0	0	0
"3,4-Dihydroxyphenylacetate_C8H8O4_168.042297"	8	48	0	32	0	0	0	0	0
"3-Carboxy-cis,cis-muconate_C7H6O6_186.016495"	6	42	0	48	0	0	0	0	0
L-Glutamate+5-semialdehyde_C5H9NO3_131.058197	9	30	7	24	0	0	0	0	0
Pseudouridine+5'-phosphate_C9H13N2O9P_324.035797	13	54	14	72	15	0	0	0	0
UDP-N-acetyl-D-mannosamine_C17H27N3O17P2_607.081421	27	102	21	136	30	0	0	0	0
beta-D-Glucose+6-phosphate_C6H13O9P_260.029785	13	36	0	72	15	0	0	0	0
17alpha-Hydroxyprogesterone_C21H30O3_330.219513	30	126	0	24	0	0	0	0	0
4-Methylthio-2-oxobutanoic+acid_C5H8O3S_148.019394	8	30	0	24	0	16	0	0	0
4-Trimethylammoniobutanoate_C7H16NO2_146.118103	16	42	7	16	0	0	0	0	0
"D-Ribulose+1,5-bisphosphate_C5H12O11P2_309.985413"	12	30	0	88	30	0	0	0	0
Nicotinate+D-ribonucleotide_C11H15NO9P_336.048401	15	66	7	72	15	0	0	0	0
"(3S,5S)-3,5-Diaminohexanoate_C6H14N2O2_146.105499"	14	36	14	16	0	0	0	0	0
Glucosylceramide_C25H46NO8R_488.322388	46	150	7	64	0	0	0	0	0
myo-Inositol+hexakisphosphate_C6H18O24P6_659.861328	18	36	0	192	90	0	0	0	0
"3-(3,4-Dihydroxyphenyl)lactate_C9H10O5_198.052902"	10	54	0	40	0	0	0	0	0
N-Methylethanolamine+phosphate_C3H10NO4P_155.034698	10	18	7	32	15	0	0	0	0
Procollagen+5-hydroxy-L-lysine_C6H14N2O3_162.100403	14	36	14	24	0	0	0	0	0
2-(Acetamidomethylene)succinate_C7H9NO5_187.048096	9	42	7	40	0	0	0	0	0
2-Dehydro-3-deoxy-D-galactonate_C6H10O6_178.047806	10	36	0	48	0	0	0	0	0
CDP-4-dehydro-6-deoxy-D-glucose_C15H23N3O15P2_547.060181	23	90	21	120	30	0	0	0	0
"1D-myo-Inositol+1,4-bisphosphate_C6H14O12P2_339.996002"	14	36	0	96	30	0	0	0	0
GDP-4-dehydro-6-deoxy-D-mannose_C16H23N5O15P2_587.066406	23	96	35	120	30	0	0	0	0
3beta-Hydroxyandrost-5-en-17-one_C19H28O2_288.208893	28	114	0	16	0	0	0	0	0
"Guanosine+3',5'-bis(diphosphate)_C10H17N5O17P4_602.956787"	17	60	35	136	60	0	0	0	0
"alpha-D-Glucose+1,6-bisphosphate_C6H14O12P2_339.996002"	14	36	0	96	30	0	0	0	0
sn-glycero-3-Phosphoethanolamine_C5H14NO6P_215.055893	14	30	7	48	15	0	0	0	0
1-Aminocyclopropane-1-carboxylate_C4H7NO2_101.047699	7	24	7	16	0	0	0	0	0
1-alpha-D-Galactosyl-myo-inositol_C12H22O11_342.116211	22	72	0	88	0	0	0	0	0
"1D-myo-Inositol+1,3,4-trisphosphate_C6H15O15P3_419.962311"	15	36	0	120	45	0	0	0	0
"D-myo-Inositol+1,4,5-trisphosphate_C6H15O15P3_419.962311"	15	36	0	120	45	0	0	0	0
"7,8-Dihydro-7,8-dihydroxykynurenate_C10H9NO5_223.048096"	9	60	7	40	0	0	0	0	0
N-Acetyl-L-glutamate+5-semialdehyde_C7H11NO4_173.068802	11	42	7	32	0	0	0	0	0
"4-(2-Aminophenyl)-2,4-dioxobutanoate_C10H9NO4_207.053207"	9	60	7	32	0	0	0	0	0
"3-Hydroxy-N6,N6,N6-trimethyl-L-lysine_C9H21N2O3_205.155197"	21	54	14	24	0	0	0	0	0
"P1,P4-Bis(5'-adenosyl)+tetraphosphate_C20H28N10O19P4_836.048218"	28	120	70	152	60	0	0	0	0
"P1,P4-Bis(5'-guanosyl)+tetraphosphate_C20H28N10O21P4_868.038025"	28	120	70	168	60	0	0	0	0
beta-Alanyl-N(pi)-methyl-L-histidine_C10H16N4O3_240.122192	16	60	28	24	0	0	0	0	0
3-(Imidazol-4-yl)-2-oxopropyl+phosphate_C6H9N2O5P_220.024902	9	36	14	40	15	0	0	0	0
5-Amino-6-(5'-phosphoribosylamino)uracil_C9H15N4O9P_354.057587	15	54	28	72	15	0	0	0	0
3-Hydroxy-2-methylpyridine-5-carboxylate_C7H7NO3_153.042603	7	42	7	24	0	0	0	0	0
"1D-myo-Inositol+1,3,4,5-tetrakisphosphate_C6H16O18P4_499.928497"	16	36	0	144	60	0	0	0	0
"2-Hydroxy-6-oxo-6-phenylhexa-2,4-dienoate_C12H10O4_218.057907"	10	72	0	32	0	0	0	0	0
(3E)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate_C11H8O5_220.037201	8	66	0	40	0	0	0	0	0
"2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate_C7H6O6_186.016495"	6	42	0	48	0	0	0	0	0
4-Amino-5-hydroxymethyl-2-methylpyrimidine_C6H9N3O_139.074600	9	36	21	8	0	0	0	0	0
"1D-myo-Inositol+1,3,4,5,6-pentakisphosphate_C6H17O21P5_579.895020"	17	36	0	168	75	0	0	0	0
2-Dehydro-3-deoxy-D-galactonate+6-phosphate_C6H11O9P_258.014099	11	36	0	72	15	0	0	0	0
"beta-D-Galactosyl-1,4-beta-D-glucosylceramide_C31H56NO13R_650.375000"	56	186	7	104	0	0	0	0	0
"2,5-Diamino-6-hydroxy-4-(5'-phosphoribosylamino)pyrimidine_C9H16N5O8P_353.073608"	16	54	35	64	15	0	0	0	0
Prostaglandin+I2_C20H32O5_352.225006	32	120	0	40	0	0	0	0	0
dIDP_C10H14N4O10P2_412.018402	14	60	28	80	30	0	0	0	0
dITP_C10H15N4O13P3_491.984711	15	60	28	104	45	0	0	0	0
dUDP_C9H14N2O11P2_388.007202	14	54	14	88	30	0	0	0	0
Carbonic+acid_CH2O3_62.000401	2	6	0	24	0	0	0	0	0
3'-AMP_C10H14N5O7P_347.063110	14	60	35	56	15	0	0	0	0
3'-UMP_C9H13N2O9P_324.035797	13	54	14	72	15	0	0	0	0
Maleic+acid_C4H4O4_116.011002	4	24	0	32	0	0	0	0	0
Alanine_C3H7NO2_89.047699	7	18	7	16	0	0	0	0	0
Benzene_C6H6_78.046997	6	36	0	0	0	0	0	0	0
Butanal_C4H8O_72.057503	8	24	0	8	0	0	0	0	0
Cyanate_CHNO_43.005798	1	6	7	8	0	0	0	0	0
Cys-Gly_C5H10N2O3S_178.041199	10	30	14	24	0	16	0	0	0
Gallate_C7H6O5_170.021606	6	42	0	40	0	0	0	0	0
Toluate_C8H8O2_136.052399	8	48	0	16	0	0	0	0	0
Toluene_C7H8_92.062599	8	42	0	0	0	0	0	0	0
3-Cresol_C7H8O_108.057503	8	42	0	8	0	0	0	0	0
4-Cresol_C7H8O_108.057503	8	42	0	8	0	0	0	0	0
Indanone_C9H8O_132.057495	8	54	0	8	0	0	0	0	0
Selenide_H2Se_81.932198	2	0	0	0	0	0	0	0	34
Selenium_Se_79.916496	0	0	0	0	0	0	0	0	34
o-Cresol_C7H8O_108.057503	8	42	0	8	0	0	0	0	0
Acetylene_C2H2_26.015699	2	12	0	0	0	0	0	0	0
Carbamate_CH3NO2_61.016399	3	6	7	16	0	0	0	0	0
Cyanamide_CH2N2_42.021801	2	6	14	0	0	0	0	0	0
Hippurate_C9H9NO3_179.058304	9	54	7	24	0	0	0	0	0
Linoleate_C18H32O2_280.240295	32	108	0	16	0	0	0	0	0
Maleamate_C4H5NO3_115.026901	5	24	7	24	0	0	0	0	0
Melatonin_C13H16N2O2_232.121201	16	78	14	16	0	0	0	0	0
Phthalate_C8H6O4_166.026596	6	48	0	32	0	0	0	0	0
Stachyose_C24H42O21_666.221619	42	144	0	168	0	0	0	0	0
Threonate_C4H8O5_136.037201	8	24	0	40	0	0	0	0	0
UDP-apiose_C14H22N2O16P2_536.044312	22	84	14	128	30	0	0	0	0
Acrylamide_C3H5NO_71.037102	5	18	7	8	0	0	0	0	0
Chitobiose_C16H28N2O11_424.169189	28	96	14	88	0	0	0	0	0
Cysteamine_C2H7NS_77.029900	7	12	7	0	0	16	0	0	0
D-Fuconate_C6H12O6_180.063400	12	36	0	48	0	0	0	0	0
D-Nopaline_C11H20N4O6_304.138306	20	66	28	48	0	0	0	0	0
L-Dopachrome_C9H7NO4_193.037506	7	54	7	32	0	0	0	0	0
Galactitol_C6H14O6_182.079102	14	36	0	48	0	0	0	0	0
4-Hydroxy-2-quinolinecarboxylic+acid_C10H7NO3_189.042603	7	60	7	24	0	0	0	0	0
L-Fuculose_C6H12O5_164.068497	12	36	0	40	0	0	0	0	0
D-Lombricine_C6H15N4O6P_270.072906	15	36	28	48	15	0	0	0	0
Lumichrome_C12H10N4O2_242.080399	10	72	28	16	0	0	0	0	0
Mesaconate_C5H6O4_130.026596	6	30	0	32	0	0	0	0	0
Psychosine_C24H47NO7_461.335388	47	144	7	56	0	0	0	0	0
Resorcinol_C6H6O2_110.036797	6	36	0	16	0	0	0	0	0
Xanthosine_C10H12N4O6_284.075714	12	60	28	48	0	0	0	0	0
(S)-Acetoin_C4H8O2_88.052399	8	24	0	16	0	0	0	0	0
Aldosterone_C21H28O5_360.193604	28	126	0	40	0	0	0	0	0
D-Glucoside_C6H11O6R_179.055603	11	36	0	48	0	0	0	0	0
Homocystine_C8H16N2O4S2_268.055206	16	48	14	32	0	32	0	0	0
"O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine_C15H11I4NO4_776.686584"	11	90	7	32	0	0	0	0	0
Lauroyl-CoA_C33H58N7O17P3S_949.282104	58	198	49	136	45	16	0	0	0
Propan-2-ol_C3H8O_60.057499	8	18	0	8	0	0	0	0	0
Rosmarinate_C18H16O8_360.084503	16	108	0	64	0	0	0	0	0
Taxiphyllin_C14H17NO7_311.100494	17	84	7	56	0	0	0	0	0
Trithionate_O6S3_191.885696	0	0	0	48	0	48	0	0	0
4-Oxoproline_C5H7NO3_129.042603	7	30	7	24	0	0	0	0	0
5-Oxoproline_C5H7NO3_129.042603	7	30	7	24	0	0	0	0	0
6-Hexanolide_C6H10O2_114.068100	10	36	0	16	0	0	0	0	0
1-Acylglycerol_C4H7O4R_119.034401	7	24	0	32	0	0	0	0	0
Aminoacetone_C3H7NO_73.052803	7	18	7	8	0	0	0	0	0
Biotinyl-CoA_C31H50N9O18P3S2_993.192810	50	186	63	144	45	32	0	0	0
Dethiobiotin_C10H18N2O3_214.131805	18	60	14	24	0	0	0	0	0
L-Histidinal_C6H9N3O_139.074600	9	36	21	8	0	0	0	0	0
L-Rhamnonate_C6H12O6_180.063400	12	36	0	48	0	0	0	0	0
Octanoyl-CoA_C29H50N7O17P3S_893.219604	50	174	49	136	45	16	0	0	0
Pregnenolone_C21H32O2_316.240204	32	126	0	16	0	0	0	0	0
Taurocyamine_C3H9N3O3S_167.036499	9	18	21	24	0	16	0	0	0
Thiocysteine_C3H7NO2S2_152.991806	7	18	7	16	0	32	0	0	0
3-Ethylmalate_C6H10O5_162.052795	10	36	0	40	0	0	0	0	0
3-Oxalomalate_C6H6O8_206.006302	6	36	0	64	0	0	0	0	0
Acetylcholine_C7H16NO2_146.118103	16	42	7	16	0	0	0	0	0
Acrylonitrile_C3H3N_53.026600	3	18	7	0	0	0	0	0	0
Cellotetraose_C24H42O21_666.221619	42	144	0	168	0	0	0	0	0
Indolelactate_C11H11NO3_205.073898	11	66	7	24	0	0	0	0	0
Pseudouridine_C9H12N2O6_244.069595	12	54	14	48	0	0	0	0	0
Styrene+oxide_C8H8O_120.057503	8	48	0	8	0	0	0	0	0
Ureidoglycine_C3H7N3O3_133.048798	7	18	21	24	0	0	0	0	0
dTDP-galactose_C16H26N2O16P2_564.075500	26	96	14	128	30	0	0	0	0
11-cis-Retinal_C20H28O_284.213989	28	120	0	8	0	0	0	0	0
3-Propylmalate_C7H12O5_176.068497	12	42	0	40	0	0	0	0	0
4-Chlorophenol_C6H5ClO_128.002899	5	36	0	8	0	0	17	0	0
Chlorophyllide_C35H34MgN4O5_614.237915	34	210	28	40	0	0	0	0	0
Corticosterone_C21H30O4_346.214386	30	126	0	32	0	0	0	0	0
Isophenoxazine_C12H8N2O2_212.058594	8	72	14	16	0	0	0	0	0
Leukotriene+B4_C20H32O4_336.230011	32	120	0	32	0	0	0	0	0
Leukotriene+C4_C30H47N3O9S_625.303284	47	180	21	72	0	16	0	0	0
Maleylpyruvate_C7H6O6_186.016495	6	42	0	48	0	0	0	0	0
N-Acetylisatin_C10H7NO3_189.042603	7	60	7	24	0	0	0	0	0
Protoporphyrin_C34H34N4O4_562.257874	34	204	28	32	0	0	0	0	0
Thromboxane+A2_C20H32O5_352.225006	32	120	0	40	0	0	0	0	0
UDP-L-rhamnose_C15H24N2O16P2_550.059875	24	90	14	128	30	0	0	0	0
2-Aminoacrylate_C3H5NO2_87.031998	5	18	7	16	0	0	0	0	0
2-Aminomuconate_C6H7NO4_157.037506	7	36	7	32	0	0	0	0	0
2-Maleylacetate_C6H6O5_158.021500	6	36	0	40	0	0	0	0	0
2-Methylcitrate_C7H10O7_206.042694	10	42	0	56	0	0	0	0	0
3-Oxoadipyl-CoA_C27H42N7O20P3S_909.141785	42	162	49	160	45	16	0	0	0
4-Nitrocatechol_C6H5NO4_155.021896	5	36	7	32	0	0	0	0	0
4-Sulfobenzoate_C7H6O5S_201.993607	6	42	0	40	0	16	0	0	0
5-Oxo-D-proline_C5H7NO3_129.042603	7	30	7	24	0	0	0	0	0
Anthranilyl-CoA_C28H41N8O17P3S_886.152283	41	168	56	136	45	16	0	0	0
D-Phenylalanine_C9H11NO2_165.078995	11	54	7	16	0	0	0	0	0
Dihydrocoumarin_C9H8O2_148.052399	8	54	0	16	0	0	0	0	0
L-Cystathionine_C7H14N2O4S_222.067398	14	42	14	32	0	16	0	0	0
Methylitaconate_C6H8O4_144.042297	8	36	0	32	0	0	0	0	0
N-Acetylindoxyl_C10H9NO2_175.063293	9	60	7	16	0	0	0	0	0
Phosphocreatine_C4H10N3O5P_211.035797	10	24	21	40	15	0	0	0	0
UDP-L-iduronate_C15H22N2O18P2_580.034119	22	90	14	144	30	0	0	0	0
Vinylacetyl-CoA_C25H40N7O17P3S_835.141418	40	150	49	136	45	16	0	0	0
beta-Alanyl-CoA_C24H41N8O17P3S_838.152283	41	144	56	136	45	16	0	0	0
beta-D-Fructose_C6H12O6_180.063400	12	36	0	48	0	0	0	0	0
(R)(-)-Allantoin_C4H6N4O3_158.044006	6	24	28	24	0	0	0	0	0
(S)(+)-Allantoin_C4H6N4O3_158.044006	6	24	28	24	0	0	0	0	0
"2',3'-Cyclic+AMP_C10H12N5O6P_329.052612"	12	60	35	48	15	0	0	0	0
"2',3'-Cyclic+CMP_C9H12N3O7P_305.041290"	12	54	21	56	15	0	0	0	0
"2',3'-Cyclic+UMP_C9H11N2O8P_306.025299"	11	54	14	64	15	0	0	0	0
2-Chlorobenzoate_C7H5ClO2_155.997803	5	42	0	16	0	0	17	0	0
4-Chlorobenzoate_C7H5ClO2_155.997803	5	42	0	16	0	0	17	0	0
4-Hydroxyaniline_C6H7NO_109.052803	7	36	7	8	0	0	0	0	0
4-Methylpentanal_C6H12O_100.088799	12	36	0	8	0	0	0	0	0
4-Chlorocatechol_C6H5ClO2_143.997803	5	36	0	16	0	0	17	0	0
5-Methylcytosine_C5H7N3O_125.058899	7	30	21	8	0	0	0	0	0
6-Aminohexanoate_C6H13NO2_131.094604	13	36	7	16	0	0	0	0	0
Formyl+phosphate_CH3O5P_125.971802	3	6	0	40	15	0	0	0	0
L-Rhamnofuranose_C6H12O5_164.068497	12	36	0	40	0	0	0	0	0
N-Methyltyramine_C9H13NO_151.099701	13	54	7	8	0	0	0	0	0
"Propane-1,3-diol_C3H8O2_76.052399"	8	18	0	16	0	0	0	0	0
Precorrin+2_C42H48N4O16_864.306519	48	252	28	128	0	0	0	0	0
Triiodothyronine_C15H12I3NO4_650.789978	12	90	7	32	0	0	0	0	0
Trimetaphosphate_H3O9P3_239.899002	3	0	0	72	45	0	0	0	0
Uroporphyrin+III_C40H38N4O16_830.228210	38	240	28	128	0	0	0	0	0
Xanthurenic+acid_C10H7NO4_205.037506	7	60	7	32	0	0	0	0	0
"cis,cis-Muconate_C6H6O4_142.026596"	6	36	0	32	0	0	0	0	0
(3R)-beta-Leucine_C6H13NO2_131.094604	13	36	7	16	0	0	0	0	0
(R)-2-Ethylmalate_C6H10O5_162.052795	10	36	0	40	0	0	0	0	0
2-Hydroxymuconate_C6H6O5_158.021500	6	36	0	40	0	0	0	0	0
2-Phenylacetamide_C8H9NO_135.068405	9	48	7	8	0	0	0	0	0
3-Cyano-L-alanine_C4H6N2O2_114.042900	6	24	14	16	0	0	0	0	0
3-Fumarylpyruvate_C7H6O6_186.016495	6	42	0	48	0	0	0	0	0
3-Iodo-L-tyrosine_C9H10INO3_306.970612	10	54	7	24	0	0	0	0	0
4-Methoxybenzoate_C8H8O3_152.047394	8	48	0	24	0	0	0	0	0
"Biphenyl-2,3-diol_C12H10O2_186.068100"	10	72	0	16	0	0	0	0	0
Butanoylphosphate_C4H9O5P_168.018799	9	24	0	40	15	0	0	0	0
Estradiol-17alpha_C18H24O2_272.177612	24	108	0	16	0	0	0	0	0
Estrone+3-sulfate_C18H22O5S_350.118805	22	108	0	40	0	16	0	0	0
N-Methylhydantoin_C4H6N2O2_114.042900	6	24	14	16	0	0	0	0	0
O-Acetylcarnitine_C9H18NO4_204.123596	18	54	7	32	0	0	0	0	0
Pentachlorophenol_C6HCl5O_263.846985	1	36	0	8	0	0	85	0	0
Perillyl+aldehyde_C10H14O_150.104507	14	60	0	8	0	0	0	0	0
Retinyl+palmitate_C36H60O2_524.459412	60	216	0	16	0	0	0	0	0
Sucrose+6-phosphate_C12H23O14P_422.082489	23	72	0	112	15	0	0	0	0
Tetradecanoyl-CoA_C35H62N7O17P3S_977.313416	62	210	49	136	45	16	0	0	0
(S)-2-Methylmalate_C5H8O5_148.037201	8	30	0	40	0	0	0	0	0
"1,4-Naphthoquinone_C10H6O2_158.036804"	6	60	0	16	0	0	0	0	0
"2,3-Dimethylmalate_C6H10O5_162.052795"	10	36	0	40	0	0	0	0	0
"2,4-Dichlorophenol_C6H4Cl2O_161.963898"	4	36	0	8	0	0	34	0	0
2-Hydroxyglutarate_C5H8O5_148.037201	8	30	0	40	0	0	0	0	0
2-Methylpropanoate_C4H8O2_88.052399	8	24	0	16	0	0	0	0	0
4-Guanidinobutanal_C5H11N3O_129.090195	11	30	21	8	0	0	0	0	0
6-Carboxyhexanoate_C7H12O4_160.073593	12	42	0	32	0	0	0	0	0
Acetaldehyde+oxime_C2H5NO_59.037102	5	12	7	8	0	0	0	0	0
D-Glucuronolactone_C6H8O6_176.032104	8	36	0	48	0	0	0	0	0
Galactosylceramide_C25H46NO8R_488.322388	46	150	7	64	0	0	0	0	0
Heteropyrithiamine_C11H13N4_201.113998	13	66	28	0	0	0	0	0	0
Indole-3-acetamide_C10H10N2O_174.079300	10	60	14	8	0	0	0	0	0
L-Formylkynurenine_C11H12N2O4_236.079697	12	66	14	32	0	0	0	0	0
N-Acetylputrescine_C6H14N2O_130.110596	14	36	14	8	0	0	0	0	0
N-Formiminoglycine_C3H6N2O2_102.042900	6	18	14	16	0	0	0	0	0
N-Hydroxyarylamine_C6H7NO_109.052803	7	36	7	8	0	0	0	0	0
N6-Acetyl-L-lysine_C8H16N2O3_188.116104	16	48	14	24	0	0	0	0	0
Phenolic+phosphate_C6H7O4P_174.008194	7	36	0	32	15	0	0	0	0
Phosphoribosyl-ATP_C15H25N5O20P4_719.004089	25	90	35	160	60	0	0	0	0
Phosphoribosyl-AMP_C15H23N5O14P2_559.071472	23	90	35	112	30	0	0	0	0
alpha-Pinene-oxide_C10H16O_152.120102	16	60	0	8	0	0	0	0	0
enol-Phenylpyruvate_C9H8O3_164.047394	8	54	0	24	0	0	0	0	0
"2,3-Dihydroxyindole_C8H7NO2_149.047699"	7	48	7	16	0	0	0	0	0
3-Phosphonopyruvate_C3H5O6P_167.982407	5	18	0	48	15	0	0	0	0
"4,5-Dioxopentanoate_C5H6O4_130.026596"	6	30	0	32	0	0	0	0	0
"Benzene-1,2,4-triol_C6H6O3_126.031700"	6	36	0	24	0	0	0	0	0
Cyanocob(III)alamin_C63H93CoN14O14P_1359.605469	93	378	98	112	15	0	0	27	0
Cyclohexylsulfamate_C6H13NO3S_179.061600	13	36	7	24	0	16	0	0	0
Imidazole-4-acetate_C5H6N2O2_126.042900	6	30	14	16	0	0	0	0	0
N-Phospho-D-lombricine_C6H16N4O9P2_350.039215	16	36	28	72	30	0	0	0	0
Propanoyl+phosphate_C3H7O5P_154.003098	7	18	0	40	15	0	0	0	0
Protochlorophyllide_C35H32MgN4O5_612.222229	32	210	28	40	0	0	0	0	0
Sorbose+1-phosphate_C6H13O9P_260.029785	13	36	0	72	15	0	0	0	0
Thiamin+acetic+acid_C12H15N4O2S_279.091614	15	72	28	16	0	16	0	0	0
(2-Naphthyl)methanol_C11H10O_158.073196	10	66	0	8	0	0	0	0	0
1-Methylnicotinamide_C7H9N2O_137.071503	9	42	14	8	0	0	0	0	0
"2,3-Dihydroxytoluene_C7H8O2_124.052399"	8	42	0	16	0	0	0	0	0
2-Methyleneglutarate_C6H8O4_144.042297	8	36	0	32	0	0	0	0	0
"3,5-Dichlorocatechol_C6H4Cl2O2_177.958801"	4	36	0	16	0	0	34	0	0
3-Dehydrosphinganine_C18H37NO2_299.282410	37	108	7	16	0	0	0	0	0
3-Indoleacetonitrile_C10H8N2_156.068802	8	60	14	0	0	0	0	0	0
3-Methylbutanoyl-CoA_C26H44N7O17P3S_851.172607	44	156	49	136	45	16	0	0	0
4-Acetamidobutanoate_C6H11NO3_145.073898	11	36	7	24	0	0	0	0	0
4-Hydroxybenzoyl-CoA_C28H40N7O18P3S_887.136414	40	168	49	144	45	16	0	0	0
Ceramide+1-phosphate_C19H37NO6PR_406.235809	37	114	7	48	15	0	0	0	0
GDP-6-deoxy-D-talose_C16H25N5O15P2_589.081970	25	96	35	120	30	0	0	0	0
L-Fucose+1-phosphate_C6H13O8P_244.034897	13	36	0	64	15	0	0	0	0
L-Methionine+S-oxide_C5H11NO3S_165.046005	11	30	7	24	0	16	0	0	0
L-Palmitoylcarnitine_C23H45NO4_399.334808	45	138	7	32	0	0	0	0	0
"L-Rhamnono-1,4-lactone_C6H10O5_162.052795"	10	36	0	40	0	0	0	0	0
