Compound	H	C	N	O	P	S	Cl	Co	Se
Spermine_C10H26N4_202.215698	26	60	28	0	0	0	0	0	0
4-Hydroxy-3-methoxy-benzaldehyde_C8H8O3_152.047302	8	48	0	24	0	0	0	0	0
Cortisone_C21H28O5_360.193604	28	126	0	40	0	0	0	0	0
D-Proline_C5H9NO2_115.063301	9	30	7	16	0	0	0	0	0
Retinoate_C20H28O2_300.208893	28	120	0	16	0	0	0	0	0
3-(2-Aminoethyl)-1H-indol-5-ol_C10H12N2O_176.095001	12	60	14	8	0	0	0	0	0
Urocanate_C6H6N2O2_138.042892	6	36	14	16	0	0	0	0	0
L-Adrenaline_C9H13NO3_183.089600	13	54	7	24	0	0	0	0	0
Creatinine_C4H7N3O_113.058899	7	24	21	8	0	0	0	0	0
D-Arginine_C6H14N4O2_174.111694	14	36	28	16	0	0	0	0	0
D-Cysteine_C3H7NO2S_121.019699	7	18	7	16	0	16	0	0	0
D-Sorbitol_C6H14O6_182.079102	14	36	0	48	0	0	0	0	0
D-Tagatose_C6H12O6_180.063400	12	36	0	48	0	0	0	0	0
Formyl-CoA_C22H36N7O17P3S_795.109924	36	132	49	136	45	16	0	0	0
L-Gulonate_C6H12O7_196.058395	12	36	0	56	0	0	0	0	0
Oxalureate_C3H4N2O4_132.017105	4	18	14	32	0	0	0	0	0
Propynoate_C3H2O2_70.005501	2	18	0	16	0	0	0	0	0
(R)-Acetoin_C4H8O2_88.052399	8	24	0	16	0	0	0	0	0
Barbiturate_C4H4N2O3_128.022202	4	24	14	24	0	0	0	0	0
D-Glucarate_C6H10O8_210.037598	10	36	0	64	0	0	0	0	0
D-Glutamine_C5H10N2O3_146.069199	10	30	14	24	0	0	0	0	0
Dopaquinone_C9H9NO4_195.053207	9	54	7	32	0	0	0	0	0
1-Hexadecanol_C16H34O_242.261002	34	96	0	8	0	0	0	0	0
Sphinganine_C18H39NO2_301.298096	39	108	7	16	0	0	0	0	0
3-Oxoadipate_C6H8O5_160.037201	8	36	0	40	0	0	0	0	0
4-Pyridoxate_C8H9NO4_183.053207	9	48	7	32	0	0	0	0	0
Cob(I)alamin_C62H93CoN13O14P_1333.602417	93	372	91	112	15	0	0	27	0
Cyclohexanol_C6H12O_100.088799	12	36	0	8	0	0	0	0	0
Deamino-NAD+_C21H27N6O15P2_665.100891	27	126	42	120	30	0	0	0	0
L-Histidinol_C6H11N3O_141.090195	11	36	21	8	0	0	0	0	0
L-Rhamnulose_C6H12O5_164.068497	12	36	0	40	0	0	0	0	0
4-Nitrophenol_C6H5NO3_139.026993	5	36	7	24	0	0	0	0	0
D-Galactarate_C6H10O8_210.037598	10	36	0	64	0	0	0	0	0
D-Galactonate_C6H12O7_196.058395	12	36	0	56	0	0	0	0	0
Deoxycytidine_C9H13N3O4_227.090698	13	54	21	32	0	0	0	0	0
Homocarnosine_C10H16N4O3_240.122192	16	60	28	24	0	0	0	0	0
Nitrous+oxide_N2O_44.001099	0	0	14	8	0	0	0	0	0
Pentanoyl-CoA_C26H44N7O17P3S_851.172607	44	156	49	136	45	16	0	0	0
"(R,R)-Tartaric+acid_C4H6O6_150.016495"	6	24	0	48	0	0	0	0	0
11-cis-Retinol_C20H30O_286.229706	30	120	0	8	0	0	0	0	0
"5,6-Dihydrothymine_C5H8N2O2_128.058594"	8	30	14	16	0	0	0	0	0
Leukotriene+A4_C20H30O3_318.219513	30	120	0	24	0	0	0	0	0
Dimethylmaleate_C6H8O4_144.042297	8	36	0	32	0	0	0	0	0
Porphobilinogen_C10H14N2O4_226.095398	14	60	14	32	0	0	0	0	0
UDP-L-arabinose_C14H22N2O16P2_536.044312	22	84	14	128	30	0	0	0	0
(R)-Lactaldehyde_C3H6O2_74.036797	6	18	0	16	0	0	0	0	0
2-Oxoglutaramate_C5H7NO4_145.037506	7	30	7	32	0	0	0	0	0
"3',5'-Cyclic+GMP_C10H12N5O7P_345.047485"	12	60	35	56	15	0	0	0	0
Estradiol-17beta_C18H24O2_272.177612	24	108	0	16	0	0	0	0	0
Indole-3-acetate_C10H9NO2_175.063293	9	60	7	16	0	0	0	0	0
Indole-3-ethanol_C10H11NO_161.084106	11	60	7	8	0	0	0	0	0
Mercaptopyruvate_C3H4O3S_119.988098	4	18	0	24	0	16	0	0	0
beta-D-Galactose_C6H12O6_180.063400	12	36	0	48	0	0	0	0	0
3-Hydroxypropanal_C3H6O2_74.036797	6	18	0	16	0	0	0	0	0
4-Pyridoxolactone_C8H7NO3_165.042603	7	48	7	24	0	0	0	0	0
Dihydroxyfumarate_C4H4O6_148.000793	4	24	0	48	0	0	0	0	0
GDP-D-mannuronate_C16H23N5O17P2_619.056213	23	96	35	136	30	0	0	0	0
N-Acetylserotonin_C12H14N2O2_218.105499	14	72	14	16	0	0	0	0	0
O-Acetyl-L-serine_C5H9NO4_147.053207	9	30	7	32	0	0	0	0	0
"1,3-Diaminopropane_C3H10N2_74.084396"	10	18	14	0	0	0	0	0	0
2-Phosphoglycolate_C2H5O6P_155.982407	5	12	0	48	15	0	0	0	0
